file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,aesthetics,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff
bin/data/videos_100/12_0(birthday)_(1).mp4,640,480,0.171385,0.723067,0.330254,0.199695,0.842507,0.319756,0.62892,2.65339,0.583504,0.0366795,0.00397122,0.00136086,0.0343236,0.0352297,0.0334176,0.614166,0,0,0,0,0,0,0,0.0134656,0.0749251,0.499501,0.128,0,0.00317916,0.0199486,0.000186306,0.979226,0.00127877,0.0416181
bin/data/videos_100/12_0(birthday)_(10).mp4,640,360,0.499759,49.5068,17.5226,0.305225,30.236,11.3313,0.195016,19.3186,5.97838,0.0969933,0.136057,0.0490349,0.124502,0.160591,0.0884133,0.731738,1,0.111422,0.119176,0.406446,0.0231343,0,0.0855993,0.0445331,0.0749251,0.499501,0.096,0,0.0036469,0.149933,0.0213894,0.827782,0.00179051,0.063913
bin/data/videos_100/12_0(birthday)_(11).mp4,640,480,0.451871,101.117,13.8358,0.321519,71.9472,13.2812,0.22661,50.7092,15.18,0.146282,0.306696,0.0519288,0.174735,0.22332,0.12615,0.767693,1,0.0313814,0.0318681,0.349451,0.0117496,0,0.0445752,0.121086,0.0749251,0.499501,0.128,0.189011,0.0759885,0.547767,0.0817645,0.36827,0.010989,0.0638779
bin/data/videos_100/12_0(birthday)_(12).mp4,640,480,0.403682,86.447,20.9051,0.327334,70.0974,16.7598,0.268984,57.6018,16.0606,0.306463,0.288348,0.0690718,0.254927,0.318527,0.191328,0.768379,0,0.065193,0.0669826,0.0249501,0.00123185,0,0.00170639,0.0944665,0.0599401,0.3996,0.128,0.146707,0.0465443,0.526745,0.0746307,0.397627,0.0768463,0.0446358
bin/data/videos_100/12_0(birthday)_(13).mp4,640,426,0.314361,46.7078,9.33886,0.341808,50.7859,7.81387,0.343831,51.0865,8.3081,0.0830336,0.194402,0.0309134,0.298887,0.384113,0.213661,0.520731,1,0.299158,0.338233,0.111564,0.0100051,0.0140845,0.00918182,0.0745297,0.0749251,0.499501,0.1136,0.259451,0.0916112,0.251025,0.0589388,0.689665,0.00074129,0.0593197
bin/data/videos_100/12_0(birthday)_(14).mp4,640,426,0.34715,48.8324,14.9066,0.325536,45.792,14.9303,0.327315,46.0423,15.3881,0.0826247,0.183196,0.0578719,0.323292,0.437652,0.208932,0.468503,1,0.226683,0.247892,0.160119,0.0098641,0.00111193,0.0140402,0.0720329,0.0749251,0.499501,0.1136,0.269088,0.112928,0.320393,0.0195207,0.659716,0.00074129,0.0357009
bin/data/videos_100/12_0(birthday)_(15).mp4,640,360,0.446002,135.261,7.83215,0.330731,100.303,5.53512,0.223267,67.7112,5.31514,0.21081,0.41957,0.0190329,0.396378,0.537935,0.25482,0.399703,1,0.0360812,0.0365435,0.179345,0.00764325,0.00555247,0.0120913,0.172261,0.0749251,0.499501,0.096,0.211549,0.0520906,0.467471,0.0721279,0.459846,0.00610772,0.0844915
bin/data/videos_100/12_0(birthday)_(16).mp4,640,360,0.404465,49.9246,5.98059,0.328357,40.5303,4.98112,0.267178,32.9789,5.69123,0.155822,0.166526,0.0200998,0.395088,0.53538,0.254796,0.398638,1,0.158235,0.167538,0.0619469,0.0028235,0,0.010151,0.056488,0.0749251,0.499501,0.096,0.10177,0.0835685,0.310496,0.0584702,0.62661,0.00884956,0.0484851
bin/data/videos_100/12_0(birthday)_(17).mp4,640,480,0.399224,60.1469,21.8082,0.355738,53.5953,22.6449,0.245039,36.9174,20.5988,0.0824261,0.210254,0.0828328,0.392963,0.533929,0.251997,0.47765,1,0.147509,0.155581,0.0508621,0.00267773,0,0.00437627,0.0748887,0.0749251,0.499501,0.128,0.0237069,0.0140576,0.37772,0.0548749,0.566975,0.00603448,0.0651906
bin/data/videos_100/12_0(birthday)_(18).mp4,640,360,0.368836,47.7067,12.3298,0.337036,43.5936,10.4333,0.294128,38.0437,11.6424,0.0237318,0.173248,0.0419939,0.373313,0.508562,0.238065,0.432995,1,0.248129,0.272342,0.167582,0.0063617,0,0.022883,0.0550799,0.0749251,0.499501,0.096,0.249313,0.0657709,0.164374,0.0200196,0.814919,0.000686813,0.141758
