file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,simplicity,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff,gabor_0,gabor_15,gabor_30,gabor_45,gabor_60,gabor_75,gabor_90,gabor_105,gabor_120,gabor_135,gabor_150,gabor_165,EH_0,EH_1,EH_2,EH_3,EH_4,EH_5,EH_6,EH_7,EH_8,EH_9,EH_10,EH_11,EH_12,EH_13,EH_14,EH_15,EH_16,entropy
0001,1280,720,0.347117,0.487304,0.0912089,0.332464,0.466733,0.0893968,0.320419,0.449823,0.0836478,1,0.461547,0.0870995,20.1106,22.103,18.1181,21.7984,1,0.0772925,0.0789441,0,0,0,0,0.179996,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1,1,4,4,4,1,4,1,4,1,4,1,0.610395
0002,1280,720,0.335588,0.299986,0.0341726,0.330578,0.295507,0.0353672,0.333834,0.298418,0.022869,0.693327,0.291494,0.0324189,16.9524,17.0927,16.812,18.8398,3,0.163133,0.171053,0.0284091,0.00155088,0,0.00508021,0.109758,0.299701,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,2,2,2,3,4,4,2,4,4,4,1,4,2,0.603846
0003,1280,720,0.315142,0.39642,0.154912,0.329309,0.41424,0.159535,0.355549,0.447247,0.192761,0.309432,0.404463,0.153695,14.2812,14.3487,14.2137,16.0173,3,0.160944,0.169061,0.038961,0.00210425,0,0.00398947,0.100791,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0.546225
0004,1280,720,0.333226,0.872836,0.0892431,0.33717,0.883164,0.0859243,0.329604,0.863347,0.0691843,0.209935,0.860741,0.0795858,13.596,13.7504,13.4416,15.2625,3,0.0377195,0.0381553,0.245283,0.0117308,0,0.0355901,0.115669,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,1,1,1,4,1,1,1,4,2,1,1,4,1,0.362435
0005,1280,406,0.312725,0.371927,0.0410518,0.330638,0.393231,0.0451605,0.356637,0.424152,0.0493515,1,0.38266,0.0428178,14.3016,14.5036,14.0996,15.9673,3,0.136406,0.14219,0.0191083,0.00059166,0,0.000224803,0.131706,0.3,0.5,0.216533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,1,1,1,3,2,2,2,2,2,2,4,2,4,0.618714
0006,1280,720,0.382892,0.516556,0.143339,0.332242,0.448224,0.149269,0.284866,0.384309,0.156858,0.190745,0.452189,0.143306,13.957,14.2927,13.6213,15.6096,3,0.109781,0.113525,0.296296,0.034138,0,0.00976358,0.0800038,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,4,1,1,4,4,4,1,1,4,1,1,1,1,0.608464
0007,1280,720,0.359954,0.538361,0.152093,0.309659,0.463137,0.14618,0.330387,0.49414,0.156886,0.401581,0.479438,0.144556,13.8338,14.3372,13.3304,15.5131,3,0.0257195,0.0259203,0.0298507,0.000685634,0,0.0101844,0.136825,0.23976,0.3996,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,0.568925
0008,1280,720,0.356859,0.499964,0.0381694,0.496179,0.695152,0.0506651,0.146962,0.205896,0.0400138,0.702679,0.569432,0.0371127,13.8136,14.2649,13.3624,15.4642,3,0.0641091,0.0653719,0.047619,0.00117167,0,0.00336134,0.124847,0.3,0.5,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,4,4,2,2,1,4,2,2,3,4,2,2,0.612975
0009,1280,720,0.315633,0.57475,0.180822,0.333357,0.607025,0.179738,0.35101,0.63917,0.21034,0.141121,0.589139,0.172967,12.6674,13.0371,12.2976,14.2538,3,0.110052,0.113931,0.0275862,0.000962015,0,0.00224476,0.0825904,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0.485429
0010,1280,720,0.356658,0.464031,0.206399,0.341011,0.443674,0.20136,0.302331,0.393348,0.18247,0.396839,0.435173,0.195517,12.5184,13.0186,12.0183,14.0812,3,0.120178,0.124837,0.5125,0.0441545,0.025,0.0733987,0.0897742,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,4,1,1,4,4,1,1,4,1,1,1,1,0.572014
0011,1280,720,0.389873,0.469616,0.0973096,0.337878,0.406986,0.0929967,0.272249,0.327934,0.0882723,1,0.408389,0.0885643,12.9141,13.4338,12.3945,14.5175,3,0.045959,0.0466179,0.315789,0.0153224,0,0.0204973,0.151871,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,2,4,1,4,4,1,1,1,2,2,2,1,1,0.609742
0012,1280,720,0.350383,0.465271,0.282957,0.324535,0.430947,0.250192,0.325082,0.431675,0.217499,0.454076,0.432492,0.246847,12.0943,12.4245,11.7642,13.6914,3,0.0939768,0.0968331,0,0,0,0,0.111592,0.24,0.4,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.524937
0013,1280,720,0.37063,0.490645,0.174414,0.314396,0.416201,0.161016,0.314974,0.416967,0.167861,0.375253,0.429877,0.160665,12.2417,12.7273,11.7561,13.8738,3,0.0960259,0.0989985,0.180556,0.00865623,0,0.0288263,0.125815,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.567002
0014,1280,720,0.349233,0.655199,0.19605,0.32693,0.613357,0.206473,0.323837,0.607554,0.197303,0.0931036,0.612775,0.196667,11.5089,11.8926,11.1252,13.0788,3,0.0879447,0.0904819,0.0164835,0.000444568,0,2.15471e-05,0.0504479,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0.543663
0015,1280,720,0.330381,0.295184,0.0864751,0.320415,0.28628,0.0870368,0.349204,0.312001,0.126266,0.176155,0.286145,0.0825986,11.4198,11.738,11.1016,12.9504,3,0.138133,0.144514,0.0241935,0.00208386,0,0.00461733,0.0793261,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0.564778
