file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,simplicity,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff,gabor_0,gabor_15,gabor_30,gabor_45,gabor_60,gabor_75,gabor_90,gabor_105,gabor_120,gabor_135,gabor_150,gabor_165,EH_0,EH_1,EH_2,EH_3,EH_4,EH_5,EH_6,EH_7,EH_8,EH_9,EH_10,EH_11,EH_12,EH_13,EH_14,EH_15,EH_16
01,269,276,0.33665,0.21972,0.110008,0.32701,0.213428,0.102737,0.336339,0.219517,0.0964306,0.0205406,0.211634,0.102009,0.227177,0.270767,0.183587,0.00181833,0,0.041361,0.0421053,1,0.200474,1,0.12549,0.0457664,0.0883464,0,0.030935,0,0,0,0,0,0,0,0.159162,0.176852,0.212449,0.215715,0.197996,0.236282,0.208028,0.221999,0.245627,0.176046,0.257021,0.168167,2,2,2,4,4,4,1,4,1,2,2,4,1,1,4,1,4
02,159,160,0.333443,0.126492,0.0884843,0.325933,0.123643,0.089561,0.340625,0.129216,0.0851251,0.014989,0.12265,0.0869413,0.23711,0.297759,0.176462,0.0958384,1,0.00350358,0.00350877,0,0,0,0,0.0839919,0.0146663,0,0.0106,0,0,0,0,0,0,0,0.18155,0.192625,0.213518,0.215391,0.205095,0.227559,0.210896,0.219081,0.232782,0.191829,0.239635,0.18739,1,2,1,5,1,1,1,3,1,2,3,3,1,1,1,1,1
03,183,162,0.345045,0.194134,0.104395,0.32569,0.183244,0.100244,0.329265,0.185256,0.0939085,0.0147119,0.183311,0.0985716,0.244051,0.297621,0.190481,0.0696266,0,0.0139536,0.0140351,1,0.285502,0,0.509804,0.0583179,0.111913,0,0.0123525,0,0,0,0,0,0,0,0.166235,0.182433,0.212616,0.215654,0.19998,0.233127,0.209084,0.221181,0.242033,0.181129,0.250883,0.174248,2,2,4,3,3,2,4,3,4,2,3,1,1,3,4,1,3
04,144,265,0.342579,0.259704,0.123843,0.330679,0.250683,0.125748,0.326742,0.247699,0.116758,0.0233386,0.248258,0.121501,0.258724,0.323164,0.194284,0.0554629,0,0.00699754,0.00701754,0,0,0,0,0.0514395,0.00990801,0,0.0159,0,0,0,0,0,0,0,0.149435,0.170473,0.211888,0.215853,0.194921,0.239834,0.206926,0.223248,0.251157,0.16927,0.26405,0.159654,1,4,1,2,1,4,1,1,4,4,3,1,1,1,4,3,1
05,276,375,0.334251,0.284979,0.121715,0.332096,0.283141,0.122093,0.333653,0.284469,0.117234,0.00835843,0.278227,0.11882,0.239213,0.300942,0.177483,0.0443993,1,0.0345767,0.0350877,0,0,0,0,0.0253648,0.0101894,0,0.043125,0,0,0,0,0,0,0,0.14123,0.164911,0.211581,0.21595,0.192586,0.242937,0.205871,0.224225,0.255349,0.163593,0.270184,0.153076,4,1,4,1,1,1,1,3,3,1,2,1,1,2,1,3,1
06,197,270,0.336355,0.243169,0.129346,0.326093,0.23575,0.128916,0.337552,0.244035,0.12529,0.0252713,0.234416,0.126035,0.248251,0.312034,0.184468,0.0491727,1,0.0104806,0.0105263,1,0.117334,0,0,0.0269975,0.0684818,0,0.0221625,0,0,0,0,0,0,0,0.15278,0.172828,0.212074,0.215814,0.196117,0.238498,0.207313,0.222812,0.249002,0.171668,0.261487,0.162565,4,1,4,4,1,4,2,4,1,4,2,1,3,2,3,3,4
07,187,148,0.360056,0.27475,0.113748,0.33299,0.254096,0.108427,0.306954,0.23423,0.103429,0.0618073,0.252888,0.107011,0.275279,0.344653,0.205906,0.0421481,1,0.00350389,0.00350877,0,0,0,0,0.0695507,0.0123506,0,0.0115317,0,0,0,0,0,0,0,0.147934,0.169165,0.211948,0.215868,0.194809,0.240576,0.206645,0.223322,0.251285,0.168287,0.265516,0.158747,1,1,1,2,1,1,3,2,2,2,4,1,1,4,2,4,1
08,284,197,0.356994,0.264231,0.133417,0.330776,0.244825,0.125722,0.31223,0.231098,0.117914,0.0255593,0.244151,0.124344,0.277267,0.343971,0.210564,0.0430125,0,0.00699811,0.00701754,0,0,0,0,0.125859,0.022309,0,0.0233117,0,0,0,0,0,0,0,0.150557,0.171415,0.211878,0.215847,0.195184,0.239292,0.207056,0.223146,0.250687,0.170032,0.262996,0.160745,4,1,4,1,4,4,3,3,4,2,2,2,2,2,2,2,2
09,351,297,0.356617,0.204778,0.114538,0.329507,0.18921,0.109173,0.313876,0.180235,0.102832,0.0156442,0.18919,0.10749,0.2706,0.333893,0.207308,0.0401039,0,0.0582612,0.0596491,0,0,0,0,0.115555,0.0291227,0,0.0434363,0,0,0,0,0,0,0,0.16452,0.180862,0.212662,0.215635,0.199785,0.234038,0.208781,0.22126,0.242375,0.179839,0.252603,0.17284,1,2,1,4,1,4,1,1,2,4,2,1,2,2,2,2,2
10,301,215,0.35506,0.258669,0.137925,0.331071,0.241192,0.130449,0.313869,0.22866,0.122288,0.0273396,0.240193,0.128828,0.272921,0.336101,0.209742,0.0367193,0,0.0277601,0.0280702,0,0,0,0,0.135379,0.0273634,0,0.0269646,0,0,0,0,0,0,0,0.151297,0.172165,0.211918,0.215837,0.195485,0.238861,0.20723,0.222997,0.250098,0.170645,0.262195,0.161419,1,1,1,1,1,4,3,3,1,2,2,3,1,2,2,2,1
